Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.5574,Mon Jun 25 18:20:25 +0000 2018,0.796,0.0,0.204,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,103,@CBS
0.1867,Fri Jun 22 21:19:06 +0000 2018,0.902,0.0,0.098,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,104,@CBS
0.4199,Fri Jun 22 18:33:53 +0000 2018,0.811,0.0,0.189,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",105,@CBS
0.4926,Thu Jun 21 23:29:50 +0000 2018,0.803,0.0,0.197,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",106,@CBS
0.3555,Wed Jun 20 00:39:01 +0000 2018,0.68,0.122,0.199,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,107,@CBS
0.0,Mon Jun 18 20:27:50 +0000 2018,1.0,0.0,0.0,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,108,@CBS
0.0,Mon Jun 18 15:00:46 +0000 2018,1.0,0.0,0.0,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,109,@CBS
0.9392,Sun Jun 17 13:00:01 +0000 2018,0.507,0.0,0.493,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",110,@CBS
0.3595,Fri Jun 15 18:48:29 +0000 2018,0.872,0.0,0.128,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",111,@CBS
-0.296,Thu Jun 14 17:30:00 +0000 2018,0.833,0.167,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",112,@CBS
0.1779,Thu Jun 14 16:19:32 +0000 2018,0.734,0.12,0.147,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,113,@CBS
-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.551,0.315,0.134,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",114,@CBS
0.5093,Mon Jun 11 22:23:06 +0000 2018,0.829,0.0,0.171,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",115,@CBS
-0.296,Mon Jun 11 19:01:38 +0000 2018,0.833,0.167,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",116,@CBS
0.0,Mon Jun 11 14:00:37 +0000 2018,1.0,0.0,0.0,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,117,@CBS
0.0,Mon Jun 11 06:19:36 +0000 2018,1.0,0.0,0.0,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,118,@CBS
